1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,16 - Latitude (decimal),17 - Longitude (decimal),59 - Superstructure Condition Rating,60 - Substructure Condition Rating,62 - Culverts Condition Rating,63 - Operating Rating Method Code,64 - Operating Rating (US tons),58 - Deck Condition Rating,66 - Inventory Rating (US tons)
31,'Nebraska',S071 05298     ,'State Highway Agency',41.7506,-103.674,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007950625     ,'County Highway Agency',41.9767,-103.5833,'8','8','N','1',73.9,'8',44.1
31,'Nebraska',C002305205P    ,'County Highway Agency',42.6319,-103.3165,'7','7','N','1',49.6,'7',29.8
31,'Nebraska',C007912005     ,'County Highway Agency',41.875,-103.6267,'8','8','N','1',33.1,'6',19.8
31,'Nebraska',S071 05745     ,'State Highway Agency',41.8072,-103.6544,'N','N','7','0',47.4,'N',36.4
31,'Nebraska',C007924715     ,'County Highway Agency',41.9033,-103.6167,'7','7','N','0',36.4,'7',24.3
31,'Nebraska',SS23A00172     ,'State Highway Agency',42.7804,-103.2589,'6','6','N','1',40.8,'4',25.4
31,'Nebraska',C002306405P    ,'County Highway Agency',42.5498,-103.3566,'9','9','N','1',76.1,'9',46.3
31,'Nebraska',SL53C00261     ,'State Highway Agency',41.2275,-103.8929,'7','7','N','1',59.5,'7',36.4
31,'Nebraska',S088 01675     ,'State Highway Agency',41.6406,-103.7292,'7','6','N','1',76.1,'7',45.2
31,'Nebraska',C007903610     ,'County Highway Agency',41.7567,-103.6833,'6','6','N','1',39.7,'6',24.3
31,'Nebraska',S030 00938     ,'State Highway Agency',41.2276,-103.8956,'N','N','8','0',47.4,'N',36.4
31,'Nebraska',S071 05511R    ,'State Highway Agency',41.7815,-103.6746,'7','7','N','1',41.9,'7',25.4
31,'Nebraska',S071 05511L    ,'State Highway Agency',41.7815,-103.6748,'8','7','N','1',63.9,'8',37.5
31,'Nebraska',S030 00920     ,'State Highway Agency',41.2256,-103.8981,'8','7','N','1',84.9,'8',50.7
31,'Nebraska',S071 05587A    ,'State Highway Agency',41.7924,-103.6736,'N','N','8','0',47.4,'N',36.4
31,'Nebraska',C007903415     ,'County Highway Agency',41.77,-103.6833,'8','8','N','1',45.2,'7',26.5
31,'Nebraska',S071 05587     ,'State Highway Agency',41.7924,-103.6747,'N','N','7','0',47.4,'N',36.4
31,'Nebraska',C000402205     ,'County Highway Agency',41.5531,-103.7713,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',S071 05610     ,'State Highway Agency',41.7954,-103.674,'8','9','N','3',55.1,'8',34.2
31,'Nebraska',C007903705P    ,'County Highway Agency',41.7363,-103.6987,'5','7','N','2',15.4,'5',9.9
31,'Nebraska',U099505669     ,'City or Municipal Highway Agency',41.8042,-103.6749,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007914515     ,'County Highway Agency',41.9009,-103.6366,'N','N','8','0',46.3,'N',36.4
31,'Nebraska',C002322515     ,'County Highway Agency',42.8067,-103.2667,'7','7','N','1',47.4,'7',27.6
31,'Nebraska',C007923010     ,'County Highway Agency',41.7833,-103.6783,'7','7','N','0',36.4,'7',24.3
31,'Nebraska',C007913210     ,'County Highway Agency',41.785,-103.6847,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C005311915     ,'County Highway Agency',41.2683,-103.8917,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007961225     ,'County Highway Agency',41.9317,-103.6267,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',U099505718     ,'City or Municipal Highway Agency',41.8133,-103.675,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C007922815R    ,'County Highway Agency',41.8516,-103.6624,'7','7','N','1',54,'7',32
31,'Nebraska',C007922815L    ,'County Highway Agency',41.8516,-103.6626,'7','5','N','1',56.2,'5',33.1
31,'Nebraska',C007903410     ,'County Highway Agency',41.77,-103.6967,'8','8','N','1',45.2,'7',26.5
31,'Nebraska',C007903905     ,'County Highway Agency',41.7783,-103.6933,'8','8','N','1',78.3,'7',47.4
31,'Nebraska',C002303405     ,'County Highway Agency',42.7699,-103.2888,'5','5','N','2',4.4,'7',2.2
31,'Nebraska',C007903910     ,'County Highway Agency',41.7817,-103.6933,'5','6','N','1',40.8,'6',24.3
31,'Nebraska',U099505806     ,'City or Municipal Highway Agency',41.825,-103.6767,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',C002301705     ,'County Highway Agency',42.6454,-103.3431,'N','N','9','0',46.3,'N',36.4
31,'Nebraska',S080 00648L    ,'State Highway Agency',41.192,-103.931,'8','8','N','1',83.8,'8',49.6
31,'Nebraska',S080 00648R    ,'State Highway Agency',41.1918,-103.9312,'9','8','N','1',83.8,'9',49.6
31,'Nebraska',C007903705     ,'County Highway Agency',41.7458,-103.7127,'5','5','N','2',26.5,'5',18.7
31,'Nebraska',C005311920     ,'County Highway Agency',41.305,-103.8917,'7','7','N','1',50.7,'5',29.8
31,'Nebraska',SS79H00203     ,'State Highway Agency',41.85,-103.6754,'8','6','N','1',65,'7',38.6
31,'Nebraska',C007903707     ,'County Highway Agency',41.7683,-103.7117,'7','8','N','0',36.4,'7',24.3
31,'Nebraska',S088 01491     ,'State Highway Agency',41.6405,-103.7647,'N','N','8','0',47.4,'N',36.4
31,'Nebraska',C007944330     ,'County Highway Agency',41.9078,-103.6572,'7','7','N','0',36.4,'7',24.3
31,'Nebraska',C007950620     ,'County Highway Agency',41.975,-103.6317,'N','N','8','0',36.4,'N',24.3
31,'Nebraska',C007903710     ,'County Highway Agency',41.7817,-103.7117,'6','6','N','1',35.3,'5',20.9
31,'Nebraska',C005311925     ,'County Highway Agency',41.3353,-103.8925,'N','N','7','0',36.4,'N',24.3
31,'Nebraska',S080 00526L    ,'State Highway Agency',41.1923,-103.9545,'8','8','N','1',84.9,'9',50.7
31,'Nebraska',S080 00526R    ,'State Highway Agency',41.192,-103.954,'8','8','N','1',84.9,'9',50.7
